# STN;YYYYMMDD;   HH;   DD;    T;    Q
350;20200101;1;140;29;0
350;20200101;2;150;32;0
350;20200101;3;130;29;0
350;20200101;4;120;26;0
350;20200101;5;140;25;0
350;20200101;6;120;23;0
350;20200101;7;150;21;0
350;20200101;8;150;18;0
350;20200101;9;170;18;5
350;20200101;10;150;19;11
350;20200101;11;160;21;19
350;20200101;12;160;23;22
350;20200101;13;170;26;27
350;20200101;14;160;24;19
350;20200101;15;190;18;11
350;20200101;16;160;14;2
350;20200101;17;180;15;0
350;20200101;18;210;15;0
350;20200101;19;220;8;0
350;20200101;20;200;10;0
350;20200101;21;180;13;0
350;20200101;22;230;16;0
350;20200101;23;210;17;0
350;20200101;24;210;16;0
350;20200102;1;210;16;0
350;20200102;2;200;17;0
350;20200102;3;180;19;0
350;20200102;4;170;20;0
350;20200102;5;170;20;0
350;20200102;6;160;22;0
350;20200102;7;180;23;0
350;20200102;8;170;23;1
350;20200102;9;170;23;5
350;20200102;10;180;24;13
350;20200102;11;180;28;19
350;20200102;12;160;33;20
350;20200102;13;180;37;14
350;20200102;14;190;44;15
350;20200102;15;180;49;11
350;20200102;16;190;51;2
350;20200102;17;190;56;0
350;20200102;18;180;60;0
350;20200102;19;190;60;0
350;20200102;20;190;63;0
350;20200102;21;200;69;0
350;20200102;22;200;74;0
350;20200102;23;200;76;0
350;20200102;24;200;81;0
350;20200103;1;200;86;0
350;20200103;2;200;87;0
350;20200103;3;200;90;0
350;20200103;4;200;91;0
350;20200103;5;200;90;0
350;20200103;6;200;89;0
350;20200103;7;200;94;0
350;20200103;8;210;96;0
350;20200103;9;210;92;4
350;20200103;10;220;93;10
350;20200103;11;230;99;9
350;20200103;12;230;105;30
350;20200103;13;250;101;14
350;20200103;14;260;100;11
350;20200103;15;290;95;6
350;20200103;16;320;77;2
350;20200103;17;320;74;0
350;20200103;18;300;61;0
350;20200103;19;290;39;0
350;20200103;20;280;40;0
350;20200103;21;240;45;0
350;20200103;22;260;51;0
350;20200103;23;240;41;0
350;20200103;24;240;37;0
350;20200104;1;240;46;0
350;20200104;2;240;48;0
350;20200104;3;240;43;0
350;20200104;4;250;45;0
350;20200104;5;250;51;0
350;20200104;6;240;49;0
